timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2024-04-28 21:00:00,63686.00000000,63745.86000000,63609.00000000,63661.99,302.76645000,1714341599999,19274622.46606140,18154,139.65088000,8890594.17053860,0
2024-04-28 22:00:00,63662.00000000,63714.76000000,62870.00000000,63151.05,2240.65115000,1714345199999,141639868.30794920,70580,1128.89444000,71348027.42327780,0
2024-04-28 23:00:00,63151.06000000,63164.70000000,62781.00000000,63118.62,1452.80370000,1714348799999,91453730.28627130,58490,699.67378000,44055584.77366260,0
2024-04-29 00:00:00,63118.62000000,63321.90000000,63002.86000000,63257.43,639.83326000,1714352399999,40440773.92917220,34235,300.20958000,18973096.26637630,0
2024-04-29 01:00:00,63257.42000000,63367.05000000,63084.18000000,63232.0,538.92170000,1714355999999,34063746.62924360,28838,253.93356000,16051326.30895040,0
2024-04-29 02:00:00,63231.99000000,63285.08000000,62570.00000000,62706.33,1267.73202000,1714359599999,79672627.20265720,52653,521.25574000,32764329.57321430,0
2024-04-29 03:00:00,62706.34000000,62764.84000000,62150.52000000,62279.67,1735.88484000,1714363199999,108512784.47632640,66473,778.60181000,48677259.78741770,0
2024-04-29 04:00:00,62279.68000000,62639.40000000,62200.03000000,62542.0,968.14551000,1714366799999,60486070.73597980,42525,503.66728000,31463130.02801550,0
2024-04-29 05:00:00,62542.00000000,62542.00000000,62059.27000000,62444.88,916.04523000,1714370399999,57089845.48658180,41783,445.68902000,27783265.20338970,0
2024-04-29 06:00:00,62444.88000000,62473.80000000,61923.13000000,62199.69,1730.38453000,1714373999999,107583310.46538350,66592,771.34860000,47965290.94340390,0
2024-04-29 07:00:00,62199.69000000,62417.85000000,61942.38000000,62399.98,1363.33041000,1714377599999,84814341.92129680,51365,748.12695000,46545135.38543480,0
2024-04-29 08:00:00,62399.98000000,62498.61000000,62220.01000000,62398.0,810.86485000,1714381199999,50566873.22849140,39707,428.30791000,26712306.92045720,0
2024-04-29 09:00:00,62397.99000000,62660.01000000,62276.73000000,62536.01,676.75773000,1714384799999,42231673.96033520,36151,431.08531000,26902838.70626410,0
2024-04-29 10:00:00,62536.01000000,62673.18000000,62388.96000000,62388.97,758.89579000,1714388399999,47449967.59427880,35466,389.45263000,24350380.18471110,0
2024-04-29 11:00:00,62388.96000000,62421.66000000,62179.99000000,62256.0,787.39096000,1714391999999,49061524.24254290,36005,385.04971000,23994061.60441320,0
2024-04-29 12:00:00,62256.00000000,62653.44000000,62049.00000000,62602.33,1426.98241000,1714395599999,89012847.74847780,49763,843.07660000,52606529.77977730,0
2024-04-29 13:00:00,62602.32000000,62698.55000000,61765.53000000,62014.0,2539.89307000,1714399199999,157997265.01454010,87647,1172.65324000,72962747.55713970,0
2024-04-29 14:00:00,62014.00000000,63014.67000000,61878.61000000,62834.99,2963.05386000,1714402799999,185336130.19392900,86023,1609.42469000,100674116.71720230,0
2024-04-29 15:00:00,62834.99000000,63112.29000000,62735.55000000,63039.07,1282.58611000,1714406399999,80694642.48576530,48450,631.93664000,39762895.10807850,0
2024-04-29 16:00:00,63039.07000000,63158.80000000,62754.00000000,62792.02,1229.02619000,1714409999999,77373535.40922490,48135,535.77178000,33735891.17079700,0
2024-04-29 17:00:00,62792.01000000,63221.74000000,62774.38000000,63033.23,779.87808000,1714413599999,49141143.82187880,39670,394.66504000,24865656.31032080,0
2024-04-29 18:00:00,63033.24000000,63050.00000000,62705.88000000,62870.0,612.29352000,1714417199999,38500381.32070720,32501,231.29209000,14540987.33324830,0
2024-04-29 19:00:00,62870.00000000,62988.00000000,62546.37000000,62987.37,882.87940000,1714420799999,55375443.55369150,44031,413.27459000,25920300.82468930,0
2024-04-29 20:00:00,62987.37000000,63134.12000000,62894.85000000,62968.82,540.43192000,1714424399999,34062730.92417550,29527,226.49269000,14274763.71362120,0
2024-04-29 21:00:00,62968.83000000,63172.58000000,62820.00000000,63092.24,479.12589000,1714427999999,30180209.59351990,25461,229.23330000,14439625.53599300,0
