timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-01-06 21:00:00,16897.96000000,16952.70000000,16889.27000000,16931.27,7417.97543000,1673042399999,125523564.40032790,200345,3583.94276000,60645036.06921290,0
2023-01-06 22:00:00,16931.27000000,16967.41000000,16930.68000000,16958.35,5234.95010000,1673045999999,88727869.63520320,156745,2650.85333000,44930048.39405240,0
2023-01-06 23:00:00,16958.35000000,16980.00000000,16942.10000000,16950.65,5806.08379000,1673049599999,98485937.51074090,186405,2852.62882000,48388860.14551010,0
2023-01-07 00:00:00,16950.31000000,16979.38000000,16930.46000000,16978.18,5467.28682000,1673053199999,92677407.89921790,165719,2698.65940000,45747521.63425550,0
2023-01-07 01:00:00,16978.15000000,16981.91000000,16944.15000000,16950.02,4267.66570000,1673056799999,72384343.97351040,144217,2041.93449000,34634164.33191330,0
2023-01-07 02:00:00,16950.02000000,16956.11000000,16936.26000000,16944.24,4191.36187000,1673060399999,71032563.79154250,138178,2033.91173000,34469963.85078010,0
2023-01-07 03:00:00,16943.93000000,16958.06000000,16936.58000000,16952.46,4016.68993000,1673063999999,68079379.89425680,131567,1961.66987000,33249155.44215670,0
2023-01-07 04:00:00,16952.73000000,16954.45000000,16936.04000000,16938.27,3778.01251000,1673067599999,64017840.21231390,127919,1791.78371000,30361688.05454240,0
2023-01-07 05:00:00,16937.85000000,16942.06000000,16932.37000000,16934.28,3697.84857000,1673071199999,62633195.39620700,118636,1850.60586000,31345312.93388220,0
2023-01-07 06:00:00,16934.02000000,16936.89000000,16922.14000000,16933.29,4212.49077000,1673074799999,71319380.70754340,133030,2153.68739000,36463170.28053680,0
2023-01-07 07:00:00,16933.56000000,16948.78000000,16931.94000000,16948.09,3792.07998000,1673078399999,64244440.98236140,123718,1958.81229000,33185891.47624150,0
2023-01-07 08:00:00,16948.18000000,16954.95000000,16926.99000000,16929.76,4917.47697000,1673081999999,83288265.05591070,139957,2349.48587000,39794289.78696010,0
2023-01-07 09:00:00,16929.58000000,16933.95000000,16921.44000000,16928.51,4343.09876000,1673085599999,73520376.32594820,135203,2153.38070000,36453167.71579670,0
2023-01-07 10:00:00,16928.78000000,16930.56000000,16912.18000000,16922.51,4731.06815000,1673089199999,80062242.23218720,146417,2339.56546000,39592065.65538100,0
2023-01-07 11:00:00,16922.51000000,16925.90000000,16908.07000000,16918.3,4945.07877000,1673092799999,83664388.16190740,152654,2468.27996000,41760712.50430390,0
2023-01-07 12:00:00,16918.30000000,16920.07000000,16908.00000000,16916.14,5565.59897000,1673096399999,94139483.88579740,153341,2779.89679000,47021257.62049090,0
2023-01-07 13:00:00,16916.14000000,16936.58000000,16914.14000000,16919.34,5503.13343000,1673099999999,93145211.24074040,150682,2740.81253000,46390949.29587680,0
2023-01-07 14:00:00,16919.34000000,16947.70000000,16908.60000000,16937.92,5735.37622000,1673103599999,97075151.09115840,168584,2804.46236000,47467664.03640710,0
2023-01-07 15:00:00,16937.63000000,16947.64000000,16934.35000000,16940.42,3845.98614000,1673107199999,65151013.58607070,126974,1896.89938000,32133664.10022730,0
2023-01-07 16:00:00,16940.60000000,16940.61000000,16916.00000000,16922.79,5124.97026000,1673110799999,86748615.96911920,154234,2483.30894000,42034139.01171140,0
2023-01-07 17:00:00,16922.79000000,16935.87000000,16918.85000000,16928.85,4106.23680000,1673114399999,69506966.27412030,134658,2048.28464000,34671972.51778800,0
2023-01-07 18:00:00,16928.85000000,16940.00000000,16928.22000000,16938.12,3342.11240000,1673117999999,56599179.34418420,105360,1673.12132000,28334602.03645020,0
2023-01-07 19:00:00,16938.12000000,16946.13000000,16935.23000000,16944.05,3500.68036000,1673121599999,59301467.70740640,111451,1734.63487000,29384941.86975170,0
2023-01-07 20:00:00,16944.05000000,16951.92000000,16937.04000000,16945.77,4307.78731000,1673125199999,72986591.91400210,129284,2132.06396000,36123832.92874970,0
2023-01-07 21:00:00,16945.44000000,16950.25000000,16937.00000000,16939.31,3924.97772000,1673128799999,66499069.05117580,115045,1947.30478000,32992697.42994490,0
