timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-04-11 21:00:00,30164.24000000,30239.59000000,30130.23000000,30189.52,1346.11191000,1681250399999,40628968.64765330,31696,710.66711000,21449234.30661220,0
2023-04-11 22:00:00,30189.51000000,30272.28000000,30147.64000000,30263.75,1230.14185000,1681253999999,37165018.11632560,26282,719.21355000,21730100.40207540,0
2023-04-11 23:00:00,30263.74000000,30274.19000000,30160.00000000,30200.42,1266.59655000,1681257599999,38277110.78676820,26307,593.50479000,17936363.88063210,0
2023-04-12 00:00:00,30200.43000000,30350.07000000,30193.67000000,30224.78,1803.85075000,1681261199999,54583725.34376680,42860,987.64274000,29881530.98409210,0
2023-04-12 01:00:00,30224.77000000,30292.44000000,30122.72000000,30170.8,1688.66019000,1681264799999,50998274.64275550,39025,812.11553000,24527667.99118600,0
2023-04-12 02:00:00,30170.80000000,30170.80000000,29811.82000000,29916.16,5625.33965000,1681268399999,168540598.83834200,100963,2518.73553000,75456589.25544200,0
2023-04-12 03:00:00,29916.16000000,29989.19000000,29858.19000000,29922.04,2277.12119000,1681271999999,68146359.65586730,46435,1202.31434000,35981515.53244120,0
2023-04-12 04:00:00,29922.04000000,29995.35000000,29887.03000000,29978.58,1539.74214000,1681275599999,46108397.54976870,29237,819.31869000,24535030.69843320,0
2023-04-12 05:00:00,29978.59000000,29999.23000000,29891.46000000,29920.0,1493.93185000,1681279199999,44727355.21708940,30015,685.80936000,20532732.96936260,0
2023-04-12 06:00:00,29919.99000000,29956.81000000,29850.00000000,29932.89,1412.52475000,1681282799999,42246348.20189690,33554,732.40167000,21905691.83143230,0
2023-04-12 07:00:00,29932.88000000,30070.42000000,29924.26000000,29987.0,1623.28548000,1681286399999,48689872.87226510,39182,946.74745000,28396901.35290850,0
2023-04-12 08:00:00,29986.99000000,30050.47000000,29913.71000000,29914.97,1468.79021000,1681289999999,44045481.36752340,32303,739.69951000,22184206.91306880,0
2023-04-12 09:00:00,29914.97000000,30007.83000000,29895.98000000,30007.68,1502.65731000,1681293599999,45014425.85550880,32271,803.48497000,24071484.29060740,0
2023-04-12 10:00:00,30007.67000000,30029.37000000,29978.13000000,29996.27,1155.85308000,1681297199999,34679177.96476670,28844,624.07934000,18724532.40352200,0
2023-04-12 11:00:00,29996.28000000,30019.65000000,29930.95000000,30016.3,1457.13626000,1681300799999,43685743.24753620,29564,779.08483000,23358421.49668530,0
2023-04-12 12:00:00,30016.31000000,30486.00000000,29919.00000000,30157.09,8712.89441000,1681304399999,263630041.83114900,142431,4490.00101000,135869070.91993960,0
2023-04-12 13:00:00,30157.09000000,30340.22000000,29964.00000000,30053.73,5716.56104000,1681307999999,172296320.86664900,96558,2848.66110000,85868995.37478600,0
2023-04-12 14:00:00,30053.72000000,30263.40000000,30016.95000000,30024.69,4889.98136000,1681311599999,147365800.49146610,83898,2502.23066000,75410711.70558800,0
2023-04-12 15:00:00,30024.69000000,30066.96000000,29637.40000000,29964.02,6989.08971000,1681315199999,208837621.32687090,121421,3428.36856000,102451830.80302880,0
2023-04-12 16:00:00,29964.03000000,30034.99000000,29915.01000000,29939.02,1972.26301000,1681318799999,59104125.94761430,44798,1013.80571000,30380894.26636070,0
2023-04-12 17:00:00,29939.02000000,30091.01000000,29907.14000000,30023.92,2066.73716000,1681322399999,62018255.04626390,44733,1061.97325000,31866432.11577430,0
2023-04-12 18:00:00,30023.93000000,30057.52000000,29845.01000000,29917.26,2390.44208000,1681325999999,71627520.51638280,58331,1160.48633000,34773175.28383820,0
2023-04-12 19:00:00,29917.27000000,29949.76000000,29760.13000000,29798.59,2099.05832000,1681329599999,62690087.13445080,46671,934.98313000,27926575.50416390,0
2023-04-12 20:00:00,29798.59000000,29955.00000000,29775.68000000,29947.47,1063.07245000,1681333199999,31748375.68631140,30898,550.27160000,16435854.26441220,0
2023-04-12 21:00:00,29947.48000000,29979.74000000,29900.77000000,29944.12,759.66879000,1681336799999,22745409.70653380,27289,381.62233000,11425761.62237740,0
