timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2019-03-31 21:00:00,4107.54000000,4107.54000000,4099.20000000,4103.77,339.51631200,1554069599999,1393328.30374119,4067,153.39215800,629580.95743368,0
2019-03-31 22:00:00,4103.77000000,4107.00000000,4098.37000000,4106.95,363.50684700,1554073199999,1491270.41156276,3860,217.53609100,892433.73665201,0
2019-03-31 23:00:00,4106.30000000,4109.50000000,4102.42000000,4103.95,364.91300000,1554076799999,1498076.80020139,4208,201.54339300,827444.76186830,0
2019-04-01 00:00:00,4102.44000000,4127.65000000,4067.00000000,4121.69,2532.22622300,1554080399999,10383400.88851415,15318,1316.47508800,5401953.81209258,0
2019-04-01 01:00:00,4119.90000000,4140.95000000,4114.10000000,4116.95,2178.03182400,1554083999999,8986542.07040557,12050,1024.10885100,4227054.83534427,0
2019-04-01 02:00:00,4117.57000000,4130.36000000,4114.10000000,4122.88,1205.39938500,1554087599999,4970509.01155817,7863,611.78993400,2523239.23806098,0
2019-04-01 03:00:00,4123.07000000,4139.00000000,4115.01000000,4129.9,1881.76300800,1554091199999,7758416.93865383,12046,969.89928400,3999251.46228665,0
2019-04-01 04:00:00,4129.90000000,4138.00000000,4127.46000000,4130.76,722.29339100,1554094799999,2985067.05468653,6205,358.58495400,1481990.08331038,0
2019-04-01 05:00:00,4130.71000000,4135.00000000,4121.00000000,4134.85,586.45845700,1554098399999,2421441.31529984,5621,299.80882600,1238044.56610440,0
2019-04-01 06:00:00,4134.85000000,4142.68000000,4131.05000000,4140.8,1028.57308700,1554101999999,4255501.48446868,7382,561.76879900,2324293.37521094,0
2019-04-01 07:00:00,4140.80000000,4144.04000000,4123.50000000,4128.85,1210.31326700,1554105599999,5002002.21716111,8551,583.84655200,2412793.71798631,0
2019-04-01 08:00:00,4128.85000000,4137.46000000,4111.12000000,4135.5,1106.27932100,1554109199999,4565256.23921975,7956,572.94818200,2364672.97807786,0
2019-04-01 09:00:00,4135.90000000,4138.16000000,4127.22000000,4134.14,650.49681800,1554112799999,2688361.09710652,5795,343.82476300,1421103.50137701,0
2019-04-01 10:00:00,4134.12000000,4134.18000000,4123.60000000,4126.05,956.06209100,1554116399999,3948165.45439718,6944,389.31052200,1607914.83409600,0
2019-04-01 11:00:00,4127.06000000,4135.19000000,4122.55000000,4128.69,1081.18722000,1554119999999,4464064.27246911,7168,532.94574800,2200545.74324870,0
2019-04-01 12:00:00,4128.68000000,4143.31000000,4126.86000000,4139.99,992.57270800,1554123599999,4105252.41840529,6991,556.16668300,2299908.91562210,0
2019-04-01 13:00:00,4139.97000000,4149.03000000,4134.03000000,4149.02,937.91352800,1554127199999,3883847.69819110,7037,520.71168500,2156554.07055570,0
2019-04-01 14:00:00,4149.03000000,4158.70000000,4134.80000000,4138.61,1825.93169100,1554130799999,7574031.62981480,11142,905.16422800,3755615.89260900,0
2019-04-01 15:00:00,4138.61000000,4148.94000000,4134.00000000,4145.07,1068.79886300,1554134399999,4426399.08666862,8543,530.48629900,2197427.03694255,0
2019-04-01 16:00:00,4145.01000000,4156.00000000,4138.66000000,4150.41,970.88376100,1554137999999,4028902.71659058,7875,499.49913300,2073035.02798397,0
2019-04-01 17:00:00,4150.39000000,4152.27000000,4140.07000000,4144.98,1039.61653300,1554141599999,4311047.39637546,7085,481.48513800,1996751.84414288,0
2019-04-01 18:00:00,4144.98000000,4146.88000000,4133.00000000,4140.04,876.11442700,1554145199999,3627340.06457727,6555,384.08230200,1590483.16680068,0
2019-04-01 19:00:00,4140.04000000,4141.51000000,4134.59000000,4137.45,525.17910300,1554148799999,2173257.39940459,5590,291.55653800,1206588.19605682,0
2019-04-01 20:00:00,4138.38000000,4141.33000000,4133.80000000,4137.65,548.45229600,1554152399999,2268850.05910124,5459,318.04193300,1315767.96604128,0
2019-04-01 21:00:00,4137.42000000,4147.71000000,4135.64000000,4145.06,408.74633100,1554155999999,1692497.14314275,4705,210.92081800,873445.85548123,0
