timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-05-07 21:00:00,28912.08000000,28952.87000000,28750.00000000,28772.83,938.38589000,1683496799999,27069372.50583060,33774,430.70204000,12426376.32790280,0
2023-05-07 22:00:00,28772.84000000,28840.86000000,28716.00000000,28739.22,1046.31616000,1683500399999,30116782.04917800,32109,476.90350000,13727545.67901600,0
2023-05-07 23:00:00,28739.22000000,28792.19000000,28395.23000000,28430.1,3627.30846000,1683503999999,103742536.85043940,77700,1670.63081000,47784892.95328950,0
2023-05-08 00:00:00,28430.09000000,28631.01000000,28357.70000000,28572.17,3090.48598000,1683507599999,88136109.81080320,71054,1527.50885000,43562254.27417100,0
2023-05-08 01:00:00,28572.17000000,28587.77000000,28034.34000000,28220.34,6092.20654000,1683511199999,172156287.30914410,109457,2677.33262000,75642715.03395130,0
2023-05-08 02:00:00,28220.35000000,28302.08000000,28129.74000000,28284.98,2966.43174000,1683514799999,83712377.61132810,62497,1359.74876000,38375938.08112450,0
2023-05-08 03:00:00,28284.98000000,28284.98000000,28004.23000000,28199.71,2709.99534000,1683518399999,76299105.55057480,59067,1342.93470000,37809486.68826440,0
2023-05-08 04:00:00,28199.72000000,28227.01000000,28112.79000000,28125.0,1519.54643000,1683521999999,42824434.05694140,38014,757.02100000,21334974.70060930,0
2023-05-08 05:00:00,28125.01000000,28262.19000000,28075.24000000,28260.47,1588.77487000,1683525599999,44779166.14324380,37431,831.41401000,23433934.69558410,0
2023-05-08 06:00:00,28260.46000000,28260.47000000,28124.39000000,28170.75,1843.76649000,1683529199999,51997612.78466960,39303,876.11541000,24708900.34772960,0
2023-05-08 07:00:00,28170.74000000,28192.12000000,27830.85000000,27975.48,3437.96235000,1683532799999,96326518.35446270,83095,1370.44843000,38386357.01971120,0
2023-05-08 08:00:00,27975.47000000,27989.11000000,27577.01000000,27704.94,5210.60203000,1683536399999,144979002.92905190,104484,2314.93683000,64423581.30689890,0
2023-05-08 09:00:00,27704.95000000,27937.50000000,27680.00000000,27914.94,3757.37919000,1683539999999,104553025.13404770,76232,2113.99188000,58820810.42469000,0
2023-05-08 10:00:00,27914.94000000,27951.75000000,27868.82000000,27936.14,1899.42493000,1683543599999,53020929.08237710,50338,965.52249000,26949736.39710530,0
2023-05-08 11:00:00,27936.14000000,27973.44000000,27870.27000000,27934.09,1669.58348000,1683547199999,46624847.14120570,44439,800.33731000,22350415.96968870,0
2023-05-08 12:00:00,27934.09000000,27942.48000000,27747.41000000,27766.81,2751.68104000,1683550799999,76624003.31150140,52276,1273.96652000,35475412.73182110,0
2023-05-08 13:00:00,27766.82000000,27971.79000000,27732.23000000,27855.78,2647.01810000,1683554399999,73762329.91434180,70398,1254.75301000,34963216.97053070,0
2023-05-08 14:00:00,27855.78000000,27980.00000000,27669.50000000,27970.53,2902.98597000,1683557999999,80780379.75220810,74207,1412.94200000,39320111.82890890,0
2023-05-08 15:00:00,27970.53000000,28082.14000000,27857.34000000,27887.58,2963.51087000,1683561599999,82818332.78189070,75944,1480.66551000,41375641.02640170,0
2023-05-08 16:00:00,27887.58000000,27930.21000000,27833.58000000,27867.2,1433.93484000,1683565199999,39975953.57077480,44841,678.90416000,18926173.97478860,0
2023-05-08 17:00:00,27867.21000000,27908.93000000,27523.00000000,27530.0,3057.90883000,1683568799999,84904479.72418290,79568,1306.57027000,36292434.59967370,0
2023-05-08 18:00:00,27530.00000000,27613.74000000,27310.07000000,27475.26,7288.67063000,1683572399999,200171152.66627110,156741,3394.20141000,93216678.05655740,0
2023-05-08 19:00:00,27475.26000000,27498.35000000,27289.39000000,27340.72,3607.05921000,1683575999999,98836357.44060440,85596,1753.99113000,48066338.10492750,0
2023-05-08 20:00:00,27340.72000000,27550.88000000,27262.00000000,27534.91,2328.55470000,1683579599999,63891692.89856590,72351,1195.07281000,32790467.37649100,0
2023-05-08 21:00:00,27534.92000000,27656.53000000,27421.07000000,27541.41,1380.56464000,1683583199999,37968414.07798700,47066,638.65694000,17569867.32131560,0
