timestamp,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_buy_base_volume,taker_buy_quote_volume,ignore
2023-08-17 21:00:00,27679.56000000,27737.83000000,25166.00000000,26253.92,17548.88268000,1692309599999,462789901.44806210,416664,7776.76088000,204474564.15516610,0
2023-08-17 22:00:00,26253.93000000,27150.00000000,25950.00000000,26801.29,16413.95017000,1692313199999,433306456.82158240,283039,9082.75247000,239801435.42172220,0
2023-08-17 23:00:00,26801.30000000,27000.00000000,26458.67000000,26623.41,8950.28797000,1692316799999,239361716.73264250,157549,4762.97739000,127375231.35145890,0
2023-08-18 00:00:00,26623.41000000,26832.60000000,26593.86000000,26737.3,4030.34231000,1692320399999,107693533.97669030,90193,2212.46629000,59113243.10507850,0
2023-08-18 01:00:00,26737.30000000,26759.96000000,26564.00000000,26613.49,2655.82069000,1692323999999,70717877.44284850,52336,1362.18593000,36267253.16942780,0
2023-08-18 02:00:00,26613.49000000,26684.64000000,26466.00000000,26482.13,2409.52862000,1692327599999,64054731.63722680,48684,1165.98395000,30998153.87587620,0
2023-08-18 03:00:00,26482.13000000,26517.80000000,26321.18000000,26398.0,2651.58892000,1692331199999,70090067.68377120,56231,1271.92882000,33620850.40577380,0
2023-08-18 04:00:00,26397.99000000,26439.58000000,26157.71000000,26267.94,3961.36998000,1692334799999,104041290.09781960,78714,1971.98813000,51794706.02174050,0
2023-08-18 05:00:00,26267.93000000,26534.97000000,26262.47000000,26443.76,2982.59737000,1692338399999,78745699.67398930,64173,1562.37165000,41242913.13888260,0
2023-08-18 06:00:00,26443.75000000,26610.00000000,26443.75000000,26502.66,3344.31935000,1692341999999,88744630.01691680,67191,1586.18828000,42089997.01736240,0
2023-08-18 07:00:00,26502.67000000,26527.45000000,26423.00000000,26429.99,3091.00241000,1692345599999,81808092.60509190,55198,1594.20466000,42189771.45067680,0
2023-08-18 08:00:00,26430.00000000,26595.47000000,26420.96000000,26591.69,2421.98465000,1692349199999,64157813.40915780,49937,1196.68872000,31704606.27680240,0
2023-08-18 09:00:00,26591.68000000,26609.65000000,26425.82000000,26451.61,2614.51147000,1692352799999,69376274.10682830,54387,948.53449000,25167882.13358830,0
2023-08-18 10:00:00,26451.61000000,26468.67000000,26388.00000000,26452.08,1645.10225000,1692356399999,43498301.12053300,36464,790.00258000,20888249.53608470,0
2023-08-18 11:00:00,26452.07000000,26514.28000000,26381.60000000,26494.0,1722.18162000,1692359999999,45556238.07285110,36330,752.86226000,19916962.82906600,0
2023-08-18 12:00:00,26494.00000000,26500.00000000,26322.00000000,26328.02,2276.57609000,1692363599999,60070964.15801880,43070,1024.94267000,27039290.02700210,0
2023-08-18 13:00:00,26328.02000000,26384.74000000,26220.00000000,26241.78,3030.39336000,1692367199999,79690679.42212290,52604,1358.88331000,35732868.61616040,0
2023-08-18 14:00:00,26241.78000000,26307.24000000,25981.88000000,26012.08,4711.39056000,1692370799999,123228986.13601900,72286,2051.04981000,53655612.26968750,0
2023-08-18 15:00:00,26012.08000000,26252.00000000,25931.95000000,26002.0,4408.27631000,1692374399999,114964678.80052940,64981,2176.85174000,56771837.48153840,0
2023-08-18 16:00:00,26001.99000000,26141.85000000,25769.04000000,25904.91,3395.29257000,1692377999999,88239485.29416340,55469,1577.42885000,40996778.51794400,0
2023-08-18 17:00:00,25904.90000000,26114.00000000,25619.00000000,26012.02,7035.18258000,1692381599999,181903613.01714540,97324,3563.46740000,92149193.57952810,0
2023-08-18 18:00:00,26012.01000000,26313.33000000,25921.00000000,26124.01,3566.04182000,1692385199999,93135293.58388570,59143,1724.94764000,45052287.57023150,0
2023-08-18 19:00:00,26124.01000000,26145.01000000,25992.00000000,26065.01,2492.75497000,1692388799999,64975018.78106620,42803,1160.01321000,30235164.45694220,0
2023-08-18 20:00:00,26065.01000000,26243.80000000,26049.02000000,26083.78,2046.99934000,1692392399999,53539848.41968830,35285,1038.06460000,27146159.85783090,0
2023-08-18 21:00:00,26083.77000000,26177.70000000,26062.74000000,26062.75,1006.36824000,1692395999999,26282924.15225420,27080,409.34417000,10691054.20281780,0
